txnid,txn_id,payment_mode,amount,convenience_charge,firstname,email,phone,productinfo,udf1,udf2,udf3,json_payload
2606306a4359ace534a,DEVTXN875423,UPI,19598.00,194.00,Veer Singh,sunita.fprints@gmail.com,8978909809,Payment of due invoices as on - June 30 2026,924994:924993:924992:924991,0,807:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a4359ace534a"",""txn_id"":""DEVTXN875423"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""19598.00"",""convenience_charge"":""194.00"",""firstname"":""Veer Singh"",""email"":""sunita.fprints@gmail.com"",""phone"":""8978909809"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924994:924993:924992:924991"",""udf2"":0,""udf3"":""807:3500:5499:9598"",""error_Message"":""""}"
2606306a4359bf323e5,DEVTXN234909,UPI,35690.00,353.00,Karan,raam@gmail.com,98776654332,Payment of due invoices as on - June 30 2026,924990:924989:924988:924987:924986,0,740:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a4359bf323e5"",""txn_id"":""DEVTXN234909"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""35690.00"",""convenience_charge"":""353.00"",""firstname"":""Karan"",""email"":""raam@gmail.com"",""phone"":""98776654332"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924990:924989:924988:924987:924986"",""udf2"":0,""udf3"":""740:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a4359d1af2dc,DEVTXN853098,UPI,657.00,7.00,Gaurav Khandelwal,55863_father@gmail.com,1027476109,Payment of due invoices as on - June 30 2026,924985,0,650,"{""status"":""success"",""txnid"":""2606306a4359d1af2dc"",""txn_id"":""DEVTXN853098"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""657.00"",""convenience_charge"":""7.00"",""firstname"":""Gaurav Khandelwal"",""email"":""55863_father@gmail.com"",""phone"":""1027476109"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924985"",""udf2"":0,""udf3"":""650"",""error_Message"":""""}"
2606306a4359e3d997a,DEVTXN992712,UPI,35045.00,347.00,Test Contract,test_contract@gmail.com,342642645645,Payment of due invoices as on - June 30 2026,924984:924983:924982:924981:924980,0,1599:16000:3500:4000:9599,"{""status"":""success"",""txnid"":""2606306a4359e3d997a"",""txn_id"":""DEVTXN992712"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""35045.00"",""convenience_charge"":""347.00"",""firstname"":""Test Contract"",""email"":""test_contract@gmail.com"",""phone"":""342642645645"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924984:924983:924982:924981:924980"",""udf2"":0,""udf3"":""1599:16000:3500:4000:9599"",""error_Message"":""""}"
2606306a4359f61e282,DEVTXN751644,UPI,35549.00,352.00,Sameer,sameer@gmail.com,8776454332,Payment of due invoices as on - June 30 2026,924974:924973:924972:924971:924970,0,600:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a4359f61e282"",""txn_id"":""DEVTXN751644"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""35549.00"",""convenience_charge"":""352.00"",""firstname"":""Sameer"",""email"":""sameer@gmail.com"",""phone"":""8776454332"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924974:924973:924972:924971:924970"",""udf2"":0,""udf3"":""600:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435a086cdcb,DEVTXN493557,UPI,40070.00,397.00,Yash,yash@gmail.com,8776454332,Payment of due invoices as on - June 30 2026,924852:924851:924850:924849,0,21076:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435a086cdcb"",""txn_id"":""DEVTXN493557"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""40070.00"",""convenience_charge"":""397.00"",""firstname"":""Yash"",""email"":""yash@gmail.com"",""phone"":""8776454332"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924852:924851:924850:924849"",""udf2"":0,""udf3"":""21076:3500:5499:9598"",""error_Message"":""""}"
2606306a435a1b0a031,DEVTXN466270,UPI,44659.00,442.00,Sameer,sameer@gmail.com,8721323233,Payment of due invoices as on - June 30 2026,924682:924681:924680:924679:924678,0,9620:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435a1b0a031"",""txn_id"":""DEVTXN466270"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""44659.00"",""convenience_charge"":""442.00"",""firstname"":""Sameer"",""email"":""sameer@gmail.com"",""phone"":""8721323233"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924682:924681:924680:924679:924678"",""udf2"":0,""udf3"":""9620:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435a2d10c86,DEVTXN452671,UPI,42761.00,423.00,Frd,ffather@trail.com,6472476473,Payment of due invoices as on - June 30 2026,924645:923520:923519:923518:923517,0,7741:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435a2d10c86"",""txn_id"":""DEVTXN452671"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""42761.00"",""convenience_charge"":""423.00"",""firstname"":""Frd"",""email"":""ffather@trail.com"",""phone"":""6472476473"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924645:923520:923519:923518:923517"",""udf2"":0,""udf3"":""7741:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435a3f6998d,DEVTXN640780,UPI,35750.00,354.00,Cdc,dc@cvhdec.com,6473657465,Payment of due invoices as on - June 30 2026,923582:923510:923509:923508:923507,0,799:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435a3f6998d"",""txn_id"":""DEVTXN640780"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""35750.00"",""convenience_charge"":""354.00"",""firstname"":""Cdc"",""email"":""dc@cvhdec.com"",""phone"":""6473657465"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923582:923510:923509:923508:923507"",""udf2"":0,""udf3"":""799:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435a519d9bb,DEVTXN694171,UPI,9694.00,96.00,Veer Singh,sunita.fprints@gmail.com,9090890909,Payment of due invoices as on - June 30 2026,923535,0,9598,"{""status"":""success"",""txnid"":""2606306a435a519d9bb"",""txn_id"":""DEVTXN694171"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""9694.00"",""convenience_charge"":""96.00"",""firstname"":""Veer Singh"",""email"":""sunita.fprints@gmail.com"",""phone"":""9090890909"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923535"",""udf2"":0,""udf3"":""9598"",""error_Message"":""""}"
